phi, phi0, phi_deformation, ratio phi / phi0
0.00169596, -0.05318434, 0.05488030, 0.03188826
0.00000000, -0.05407305, 0.05407305, 0.00000000
0.00022951, -0.05384353, 0.05407303, 0.00426245
0.00153286, -0.05368632, 0.05521919, 0.02855221
0.03335906, -0.00116156, 0.03452062, 28.71909936
0.03326682, -0.00044144, 0.03370826, 75.36050972
0.03191122, -0.00138897, 0.03330019, 22.97480022
0.03228871, -0.00177678, 0.03406549, 18.17262034
0.03316865, -0.00100591, 0.03417456, 32.97390510
0.03250894, -0.00138643, 0.03389538, 23.44793922
0.03154043, -0.00146669, 0.03300712, 21.50456723
0.03274536, -0.00076180, 0.03350716, 42.98441891
0.03101811, -0.00238488, 0.03340299, 13.00612566
0.03133120, -0.00180673, 0.03313793, 17.34142772
0.03233412, -0.00104205, 0.03337617, 31.02939549
0.03234475, -0.00153231, 0.03387706, 21.10849674
0.03296631, -0.00083333, 0.03379965, 39.55957439
0.03149790, -0.00163784, 0.03313574, 19.23137730
0.03053961, -0.00277989, 0.03331951, 10.98589450
0.03199358, -0.00142562, 0.03341920, 22.44186695
0.03245055, -0.00143930, 0.03388985, 22.54600784
0.03229603, -0.00153569, 0.03383172, 21.03037179
0.09425459, 0.06820790, 0.02604669, 1.38187203
0.09451348, 0.06851313, 0.02600035, 1.37949443
0.09367072, 0.06783497, 0.02583576, 1.38086194
0.09325643, 0.06769455, 0.02556188, 1.37760619
0.09379012, 0.06784230, 0.02594781, 1.38247247
0.09420334, 0.06842238, 0.02578096, 1.37679136
0.09406372, 0.06826787, 0.02579585, 1.37786225
0.09418575, 0.06838294, 0.02580281, 1.37732817
0.09300489, 0.06743662, 0.02556827, 1.37914521
0.09215703, 0.06673095, 0.02542608, 1.38102374
0.09395647, 0.06842196, 0.02553451, 1.37319180
0.09388363, 0.06838456, 0.02549907, 1.37287754
0.09391696, 0.06833980, 0.02557716, 1.37426445
0.09328143, 0.06776569, 0.02551574, 1.37652889
0.09330947, 0.06756762, 0.02574186, 1.38097923
0.09376056, 0.06808580, 0.02567477, 1.37709432
0.09362295, 0.06818503, 0.02543792, 1.37307186
0.09318595, 0.06759284, 0.02559312, 1.37863649
0.09315847, 0.06739197, 0.02576650, 1.38233782
0.09279890, 0.06703126, 0.02576764, 1.38441226
0.09250977, 0.06708956, 0.02542022, 1.37889979
0.09269495, 0.06720027, 0.02549468, 1.37938361
0.09282870, 0.06718995, 0.02563875, 1.38158608
0.09431316, 0.06825262, 0.02606054, 1.38182476
